0,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1,1,2,0,2,0,1,0,1,2,2,0,1,0,2,14
2,14,0,1,0,2,2,1,0,0,2,1,0,0,2,0
3,2,0,0,10,2,0,0,1,2,0,0,1,2,0,14
4,14,1,2,1,3,0,0,2,0,1,2,0,0,1,1
5,1,2,0,0,3,2,1,0,6,0,1,0,2,0,14
6,14,0,1,2,1,3,0,2,4,3,1,2,0,1,0
7,1,10,0,2,0,3,1,4,0,3,0,2,1,0,14
8,14,0,3,2,1,0,3,4,2,1,3,0,0,2,1
9,0,0,3,2,0,1,9,0,0,2,3,1,0,2,14
10,14,1,0,3,1,2,4,3,1,2,0,3,2,0,0
11,0,1,2,3,1,4,1,3,0,1,2,3,1,0,14
12,14,0,0,1,3,4,0,2,3,0,0,1,3,1,1
13,0,2,1,0,9,1,1,0,3,0,0,0,7,0,14
14,14,1,0,0,4,3,1,1,0,3,1,0,4,2,0
15,0,0,0,4,1,3,0,0,1,3,1,4,2,0,14
16,14,0,1,4,0,0,3,2,0,0,3,4,0,1,1
17,0,0,8,1,0,0,7,0,1,1,5,0,1,0,14
18,14,1,0,3,1,1,4,2,0,0,0,2,0,1,0
19,0,1,1,3,0,4,1,0,1,1,1,1,0,0,14
20,14,0,2,0,3,4,0,2,0,0,1,0,0,0,1
21,1,1,0,0,5,1,1,0,2,1,0,0,1,0,14
22,14,0,1,1,0,0,0,0,1,0,2,0,0,1,0
23,1,2,0,0,1,0,2,1,1,1,0,1,2,0,14
24,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
